iter	Passed	Remaining
0	252	125796
1	509	126870
2	761	126091
3	971	120512
4	1256	124403
5	1533	126275
6	1839	129570
7	2118	130292
8	2400	130933
9	2647	129715
10	2892	128576
11	3127	127176
12	3343	125248
13	3636	126231
14	3873	125257
15	4108	124284
16	4329	123003
17	4454	119288
18	4683	118574
19	4899	117594
20	5134	117119
21	5374	116771
22	5581	115759
23	5821	115453
24	6035	114671
25	6246	113878
26	6505	113971
27	6652	112136
28	6912	112275
29	7154	112079
30	7391	111824
31	7631	111611
32	7906	111894
33	8147	111662
34	8414	111787
35	8657	111580
36	8895	111311
37	9132	111025
38	9346	110477
39	9579	110162
40	9810	109831
41	10052	109618
42	10267	109125
43	10523	109058
44	10750	108702
45	11006	108632
46	11234	108279
47	11464	107955
48	11669	107405
49	11908	107179
50	12149	106959
51	12257	105599
52	12481	105267
53	12702	104911
54	12920	104537
55	13168	104409
56	13436	104430
57	13676	104221
58	13917	104026
59	14166	103890
60	14392	103576
61	14631	103366
62	14859	103075
63	15071	102672
64	15305	102432
65	15550	102256
66	15775	101949
67	16022	101791
68	16278	101684
69	16526	101517
70	16768	101321
71	17016	101154
72	17252	100913
73	17480	100631
74	17714	100379
75	17953	100162
76	18276	100403
77	18537	100292
78	18815	100268
79	19062	100077
80	19304	99861
81	19611	99970
82	19910	100032
83	20208	100081
84	20481	99996
85	20751	99896
86	21014	99756
87	21278	99623
88	21534	99445
89	21766	99157
90	22028	99006
91	22249	98673
92	22478	98371
93	22704	98062
94	22992	98019
95	23285	97994
96	23557	97873
97	23804	97648
98	24028	97327
99	24255	97020
100	24506	96811
101	24739	96533
102	25022	96446
103	25274	96236
104	25536	96066
105	25745	95697
106	26012	95542
107	26240	95243
108	26474	94968
109	26761	94881
110	27005	94640
111	27343	94724
112	27621	94596
113	27899	94466
114	28138	94202
115	28459	94211
116	28781	94217
117	29113	94247
118	29404	94143
119	29660	93925
120	29963	93852
121	30261	93760
122	30497	93475
123	30777	93323
124	31050	93151
125	31293	92888
126	31606	92827
127	31845	92551
128	32134	92418
129	32418	92268
130	32646	91959
131	32898	91716
132	33179	91555
133	33460	91393
134	33788	91352
135	34029	91077
136	34284	90841
137	34606	90779
138	35012	90930
139	35312	90803
140	35578	90586
141	35809	90281
142	36056	90016
143	36308	89762
144	36545	89473
145	36785	89192
146	37093	89075
147	37352	88838
148	37603	88582
149	37851	88320
150	38117	88099
151	38366	87838
152	38630	87612
153	38889	87376
154	39129	87094
155	39395	86873
156	39673	86674
157	39929	86430
158	40169	86150
159	40453	85963
160	40756	85816
161	40998	85540
162	41231	85246
163	41495	85015
164	41738	84741
165	41982	84469
166	42232	84213
167	42486	83961
168	42715	83662
169	42976	83425
170	43193	83102
171	43439	82838
172	43739	82674
173	44040	82512
174	44248	82175
175	44520	81958
176	44802	81758
177	45051	81497
178	45311	81257
179	45551	80980
180	45776	80678
181	46001	80376
182	46250	80117
183	46471	79809
184	46729	79565
185	46965	79285
186	47206	79013
187	47453	78752
188	47678	78454
189	47927	78197
190	48194	77969
191	48456	77732
192	48729	77512
193	48992	77277
194	49268	77061
195	49524	76813
196	49778	76562
197	50017	76288
198	50289	76066
199	50573	75860
200	50846	75636
201	51122	75418
202	51413	75221
203	51672	74975
204	51954	74763
205	52243	74560
206	52514	74331
207	52788	74106
208	53062	73881
209	53324	73638
210	53600	73414
211	53857	73165
212	54149	72962
213	54412	72719
214	54697	72505
215	54955	72255
216	55226	72023
217	55509	71806
218	55773	71563
219	56064	71355
220	56312	71091
221	56587	70861
222	56850	70616
223	57139	70404
224	57388	70141
225	57655	69900
226	57904	69638
227	58151	69374
228	58446	69165
229	58587	68777
230	58835	68514
231	59104	68275
232	59347	68007
233	59553	67697
234	59843	67482
235	60140	67275
236	60411	67039
237	60655	66772
238	60873	66477
239	61125	66218
240	61390	65975
